v_true,a_true,t_true,v_est,a_est,t_est,v_bias,a_bias,t_bias,v_squared_error,a_squared_error,t_squared_error
0.6249552481944093,0.8322989631557879,0.28032093141675296,0.6190234034688127,0.8355593130483469,0.2802726836065828,0.005931844725596602,-0.003260349892558967,4.824781017015445e-05,3.518678184858823e-05,1.0629881421909267e-05,2.327851186215259e-09
0.6562444197656329,1.959255988239216,0.45506509314242705,0.6574792207767683,1.9539892266919903,0.4627644997139392,-0.001234801011135489,0.005266761547225718,-0.007699406571512135,1.5247335371012261e-06,2.7738777195335437e-05,5.928086155344425e-05
0.5729320144021717,1.3993997987205637,0.12508191940473826,0.5847894743095435,1.4043385178099914,0.11859725204001881,-0.011857459907371859,-0.004938719089427668,0.006484667364719449,0.00014059935545493105,2.439094624427725e-05,4.205091083105748e-05
0.6200482119521995,0.9270828988166357,0.3046282733690109,0.6111687939510184,0.9272300502378661,0.30738214918575346,0.008879418001181083,-0.00014715142123034042,-0.002753875816742579,7.884406403969867e-05,2.165354077010908e-08,7.583832014039608e-06
0.5048311583768424,1.5286459136854296,0.20242199897522598,0.5129174787474782,1.516823065102583,0.2312335753205903,-0.008086320370635725,0.011822848582846657,-0.028811576345364326,6.538857713655828e-05,0.0001397797486129192,0.0008301069315047572
1.2713524632676472,1.094838744208666,0.41041150364791923,1.272941657509006,1.1063466621275906,0.4044136403514381,-0.0015891942413588378,-0.011507917918924582,0.00599786329648111,2.525538336768092e-06,0.00013243217482870548,3.5974364123275244e-05
1.1118036157794267,1.8869511381585327,0.45690811017873023,1.1097166228221111,1.8771485972750388,0.4652956131142334,0.0020869929573155144,0.00980254088349386,-0.008387502935503166,4.355539603884556e-06,9.608980777256858e-05,7.035020549307423e-05
1.420213285649115,1.220755570697928,0.47027148341707214,1.402909799553319,1.2225491929368721,0.46833231456908736,0.017303486095795906,-0.0017936222389440815,0.0019391688479847846,0.00029941063106740223,3.2170807360347797e-06,3.760375820994637e-06
0.6484380296791898,1.4564342241693695,0.32307654874133185,0.5908238888748704,1.4563183554651065,0.31666074241323705,0.05761414080431948,0.00011586870426305573,0.0064158063280947975,0.003319389220619951,1.342555662759947e-08,4.116257083962125e-05
1.5670207880004114,1.071510505536522,0.2757106710930075,1.5864000007920818,1.0666282172111128,0.27561912203070194,-0.01937921279167032,0.0048822883254091565,9.154906230557369e-05,0.0003755538884248385,2.3836739292426546e-05,8.381230809029814e-09
1.9160639255540892,1.499489752528773,0.10918387408998931,1.9235857390464008,1.4987671831374558,0.10810312850975284,-0.007521813492311624,0.0007225693913170961,0.001080745580236464,5.657767821312119e-05,5.221065252683587e-07,1.1680110092006514e-06
0.8760112383724316,0.9400445096006843,0.44350711529050424,0.8628055917875164,0.9463701813602855,0.4389482456778684,0.013205646584915187,-0.0063256717596011924,0.004558869612635852,0.00017438910172568216,4.0014123210216044e-05,2.078329214501456e-05
0.6079249481944555,0.5657909283501484,0.31109932829257414,0.6253762317569538,0.5654836597323979,0.31033692952838343,-0.017451283562498254,0.0003072686177505446,0.0007623987641907082,0.0003045472979787218,9.441400345433029e-08,5.81251875639519e-07
1.1645033024533435,1.142806534297496,0.33079455990624773,1.1169528997363067,1.1331421169416167,0.334025648853442,0.04755040271703681,0.009664417355879307,-0.0032310889471942605,0.0022610407985523815,9.340096282862117e-05,1.0439935784680915e-05
1.272393027458826,0.6553602824172206,0.18698188260604912,1.2340580911125218,0.6502594055367915,0.18808318020801146,0.03833493634630414,0.005100876880429039,-0.0011012976019623422,0.00146956734467519,2.601894494929549e-05,1.2128564080880054e-06
1.569082584148373,0.8188205624712555,0.4505707388228455,1.5959712272164306,0.8311133578904636,0.44837621473383693,-0.026888643068057494,-0.012292795419208136,0.0021945240890085538,0.0007229991260413963,0.00015111281921850452,4.815935977238823e-06
1.1190318957456307,1.44472076917749,0.4772913117253069,1.1260171972100605,1.4546025004270704,0.47282091258200415,-0.006985301464429883,-0.009881731249580472,0.004470399143302772,4.879443654896626e-05,9.764861248893523e-05,1.998446850044216e-05
1.0900653807957394,0.5404999194562755,0.4769072454572707,1.0989650009700944,0.5443526609405193,0.47613099621351074,-0.008899620174354972,-0.003852741484243749,0.0007762492437599633,7.920323924778602e-05,1.4843616944412727e-05,6.025628884379149e-07
0.5110131286208582,1.946192989016469,0.19904130850842613,0.4932848105902807,1.9297458555585674,0.20857493432138086,0.01772831803057756,0.01644713345790172,-0.009533625812954721,0.00031429326019330147,0.00027050819898203016,9.089002114143658e-05
1.417178400180215,0.6585116521227192,0.24204045893645285,1.430558064139155,0.6662846145716973,0.2400966774763073,-0.01337966395894008,-0.007772962448978071,0.0019437814601455383,0.00017901540765416014,6.041894523322318e-05,3.778286364805521e-06
0.8372258508838897,1.1498944813794667,0.24190781467821496,0.8221219019052439,1.1397741086422672,0.24304993761448435,0.015103948978645754,0.010120372737199457,-0.0011421229362693908,0.00022812927474953412,0.00010242194433985002,1.3044448015526148e-06
1.5774068800172538,1.0198587267488501,0.294203652387402,1.567013061867462,1.0232523963001257,0.29357228086257425,0.01039381814979179,-0.0033936695512755133,0.0006313715248277285,0.00010803145573094121,1.1516993023254543e-05,3.98630002363291e-07
1.0607271028770484,0.948585781863575,0.4273731502307855,0.99634052336394,0.9441996855019741,0.43119427852075864,0.06438657951310844,0.004386096361600922,-0.0038211282899731636,0.004145631621397836,1.9237841293248843e-05,1.4601021408433233e-05
